                                  url1      url2
indexing                      0.000000  0.051912
inesc                         0.000000  0.025956
inferring                     0.020939  0.000000
information                   0.014898  0.092339
initiative                    0.020939  0.000000
innovation                    0.020939  0.000000
inria                         0.020939  0.000000
insights                      0.000000  0.025956
institute                     0.000000  0.103824
int                           0.062816  0.000000
intelligence                  0.020939  0.000000
interest                      0.000000  0.051912
interesting                   0.020939  0.000000
interestingness               0.041877  0.000000
internet                      0.000000  0.025956
investigation                 0.000000  0.051912
ionescu                       0.041877  0.000000
ir                            0.000000  0.129780
islamaj                       0.000000  0.025956
isola                         0.020939  0.000000
issue                         0.000000  0.051912
issuethe                      0.000000  0.025956
italyalfonso                  0.000000  0.025956
italyfleur                    0.000000  0.025956
jang                          0.000000  0.025956
january                       0.000000  0.025956
japanjong                     0.000000  0.025956
japanzhiyong                  0.000000  0.025956
jaume                         0.000000  0.025956
jianxiong                     0.020939  0.000000
journal                       0.000000  0.077868
june                          0.020939  0.000000
jungong                       0.020939  0.000000
junwei                        0.020939  0.000000
kaist                         0.000000  0.025956
kano                          0.000000  0.025956
kedia                         0.020939  0.000000
keep                          0.020939  0.000000
khanh                         0.020939  0.000000
khosla                        0.020939  0.000000
kim                           0.000000  0.025956
kokkinakis                    0.000000  0.025956
koreakevin                    0.000000  0.025956
krallinger                    0.000000  0.025956
lamurias                      0.000000  0.025956
language                      0.014898  0.073872
languages                     0.000000  0.025956
languagesimportant            0.000000  0.025956
lara                          0.000000  0.025956
large                         0.020939  0.000000
lasige                        0.000000  0.103824
later                         0.020939  0.000000
lavelli                       0.000000  0.025956
layer                         0.020939  0.000000
lbp                           0.020939  0.000000
learn                         0.000000  0.025956
learning                      0.059592  0.036936
least                         0.000000  0.025956
less                          0.020939  0.000000
library                       0.000000  0.077868
licenses                      0.020939  0.000000
like                          0.014898  0.018468
limited                       0.020939  0.000000
limsi                         0.000000  0.051912
ling                          0.020939  0.000000
linking                       0.000000  0.025956
lisbon                        0.000000  0.051912
liu                           0.020939  0.000000
llavori                       0.000000  0.025956
lncs                          0.000000  0.077868
long                          0.062816  0.000000
lourenco                      0.000000  0.025956
lu                            0.000000  0.025956
lyse                          0.000000  0.025956
machine                       0.029796  0.018468
mainly                        0.000000  0.025956
make                          0.041877  0.000000
makes                         0.083754  0.000000
manav                         0.020939  0.000000
manchester                    0.000000  0.025956
march                         0.000000  0.077868
marinho                       0.000000  0.025956
marquant                      0.020939  0.000000
martins                       0.000000  0.025956
matos                         0.000000  0.025956
mats                          0.020939  0.000000
maximum                       0.000000  0.077868
may                           0.041877  0.000000
mclean                        0.000000  0.025956
meaning                       0.041877  0.000000
means                         0.000000  0.025956
measure                       0.020939  0.000000
measured                      0.020939  0.000000
measurement                   0.020939  0.000000
media                         0.062816  0.000000
mediaeval                     0.104693  0.000000
mediaevaldatasetsmediaeval    0.020939  0.000000
mediaevalwhy                  0.020939  0.000000
medical                       0.000000  0.051912
medicine                      0.000000  0.129780
meet                          0.000000  0.025956
memorability                  0.481586  0.000000
memorabilityscene             0.020939  0.000000
memorable                     0.104693  0.000000
memorization                  0.020939  0.000000
memory                        0.062816  0.000000
mentioned                     0.020939  0.000000
mesinesp                      0.000000  0.103824
metrics                       0.041877  0.000000
